30001;"Austin-Blue";41.8708;-87.7768
30002;"Austin-Blue";41.8708;-87.7768
30003;"Harlem-Green";41.8868;-87.8032
30004;"Harlem-Green";41.8868;-87.8032
30005;"Pulaski-Green";41.8854;-87.7254
30006;"Pulaski-Green";41.8854;-87.7254
30007;"Quincy/Wells";41.8787;-87.6337
30008;"Quincy/Wells";41.8787;-87.6337
30009;"Cicero-Green";41.8865;-87.7447
30010;"Davis";42.0477;-87.6835
30011;"Davis";42.0477;-87.6835
30012;"Belmont-Blue";41.9381;-87.7124
30013;"Belmont-Blue";41.9381;-87.7124
30014;"Jackson-Blue";41.8782;-87.6293
30015;"Jackson-Blue";41.8782;-87.6293
30016;"Sheridan";41.9538;-87.6549
30017;"Sheridan";41.9538;-87.6549
30018;"Damen-Brown";41.9663;-87.6786
30019;"Damen-Brown";41.9663;-87.6786
30020;"Morse";42.0084;-87.6659
30021;"Morse";42.0084;-87.6659
30022;"35th/Archer";41.8294;-87.6806
30023;"35th/Archer";41.8294;-87.6806
30024;"51st";41.8021;-87.6185
30025;"51st";41.8021;-87.6185
30026;"Skokie";42.039;-87.7519
30027;"Skokie";42.039;-87.7519
30028;"Pulaski-Cermak";41.8537;-87.7243
30029;"Pulaski-Cermak";41.8537;-87.7243
30030;"LaSalle/Van Buren";41.8768;-87.6317
30031;"LaSalle/Van Buren";41.8768;-87.6317
30032;"Ashland-Lake";41.8853;-87.667
30033;"Ashland-Lake";41.8853;-87.667
30034;"Oak Park-Blue";41.8721;-87.7916
30035;"Oak Park-Blue";41.8721;-87.7916
30036;"Sox-35th";41.8312;-87.6306
30037;"Sox-35th";41.8312;-87.6306
30038;"Randolph/Wabash";41.8844;-87.6262
30039;"Randolph/Wabash";41.8844;-87.6262
30040;"Damen-Cermak";41.8545;-87.676
30041;"Damen-Cermak";41.8545;-87.676
30042;"Western-Forest Park";41.8755;-87.6884
30043;"Western-Forest Park";41.8755;-87.6884
30044;"Cumberland";41.9842;-87.838
30045;"Cumberland";41.9842;-87.838
30046;"79th";41.7504;-87.6251
30047;"79th";41.7504;-87.6251
30048;"Kedzie-Homan";41.8743;-87.706
30049;"Kedzie-Homan";41.8743;-87.706
30050;"State/Lake";41.8857;-87.6278
30051;"State/Lake";41.8857;-87.6278
30052;"Main";42.0335;-87.6795
30053;"Main";42.0335;-87.6795
30054;"Central-Green";41.8874;-87.7656
30055;"Central-Green";41.8874;-87.7656
30056;"Ashland/63rd";41.7789;-87.6638
30057;"Ashland/63rd";41.7789;-87.6638
30058;"Indiana";41.8217;-87.6214
30059;"Indiana";41.8217;-87.6214
30060;"Western-Orange";41.8045;-87.684
30061;"Western-Orange";41.8045;-87.684
30062;"Division";41.9034;-87.6665
30063;"Division";41.9034;-87.6665
30064;"Grand-Red";41.8917;-87.628
30065;"Grand-Red";41.8917;-87.628
30066;"Berwyn";41.978;-87.6587
30067;"Berwyn";41.978;-87.6587
30068;"UIC-Halsted";41.8755;-87.6497
30069;"UIC-Halsted";41.8755;-87.6497
30070;"Southport";41.9437;-87.6636
30071;"Southport";41.9437;-87.6636
30072;"Washington-Blue";41.8832;-87.6294
30073;"Washington-Blue";41.8832;-87.6294
30074;"Clark/Lake (Elevated)";41.8857;-87.6309
30075;"Clark/Lake (Elevated)";41.8857;-87.6309
30076;"Forest Park";41.8743;-87.8173
30077;"Forest Park";41.8743;-87.8173
30078;"Noyes";42.0583;-87.6833
30079;"Noyes";42.0583;-87.6833
30080;"Roosevelt (Elevated)";41.8674;-87.6266
30081;"Roosevelt (Elevated)";41.8674;-87.6266
30082;"Cicero-Cermak";41.8518;-87.7453
30083;"Cicero-Cermak";41.8518;-87.7453
30084;"Clinton-Blue";41.8755;-87.641
30085;"Clinton-Blue";41.8755;-87.641
30086;"California-Cermak";41.8541;-87.6948
30087;"California-Cermak";41.8541;-87.6948
30088;"95th";41.7224;-87.6243
30089;"95th";41.7224;-87.6243
30090;"Merchandise Mart";41.889;-87.6339
30091;"Merchandise Mart";41.889;-87.6339
30092;"Racine";41.8759;-87.6595
30093;"Racine";41.8759;-87.6595
30094;"Cicero-Green";41.8865;-87.7447
30095;"Grand-Blue";41.8912;-87.6476
30096;"Grand-Blue";41.8912;-87.6476
30099;"Garfield-Green";41.7952;-87.6183
30100;"Garfield-Green";41.7952;-87.6183
30101;"Foster";42.0542;-87.6836
30102;"Foster";42.0542;-87.6836
30103;"Diversey";41.9327;-87.6531
30104;"Diversey";41.9327;-87.6531
30105;"Wilson";41.9643;-87.6576
30106;"Wilson";41.9643;-87.6576
30107;"Irving Park-Blue";41.9529;-87.7292
30108;"Irving Park-Blue";41.9529;-87.7292
30109;"Jackson-Red";41.8782;-87.6276
30110;"Jackson-Red";41.8782;-87.6276
30111;"California-O'Hare";41.9219;-87.6969
30112;"California-O'Hare";41.9219;-87.6969
30113;"54th/Cermak";41.8518;-87.7567
30114;"54th/Cermak";41.8518;-87.7567
30115;"Damen-O'Hare";41.9097;-87.6774
30116;"Damen-O'Hare";41.9097;-87.6774
30117;"Kostner";41.8538;-87.7333
30118;"Kostner";41.8538;-87.7333
30119;"Ridgeland";41.8872;-87.7837
30120;"Ridgeland";41.8872;-87.7837
30121;"Clark/Division";41.9039;-87.6314
30122;"Clark/Division";41.9039;-87.6314
30123;"Madison/Wabash";41.882;-87.6261
30124;"Madison/Wabash";41.882;-87.6261
30125;"North/Clybourn";41.9107;-87.6492
30126;"North/Clybourn";41.9107;-87.6492
30127;"Armitage";41.9182;-87.6526
30128;"Armitage";41.9182;-87.6526
30129;"Western-O'Hare";41.9162;-87.6874
30130;"Western-O'Hare";41.9162;-87.6874
30131;"Adams/Wabash";41.8795;-87.626
30132;"Adams/Wabash";41.8795;-87.626
30133;"Dempster";42.0417;-87.6816
30134;"Dempster";42.0417;-87.6816
30135;"Laramie";41.8872;-87.755
30136;"Laramie";41.8872;-87.755
30137;"Chicago-Brown";41.8968;-87.6359
30138;"Chicago-Brown";41.8968;-87.6359
30139;"East 63rd-Cottage Grove";41.7803;-87.6059
30140;"East 63rd-Cottage Grove";41.7803;-87.6059
30141;"Washington/Wells";41.8827;-87.6338
30142;"Washington/Wells";41.8827;-87.6338
30143;"Western-Cermak";41.8542;-87.6851
30144;"Western-Cermak";41.8542;-87.6851
30145;"Harlem-O'Hare";41.9823;-87.8089
30146;"Harlem-O'Hare";41.9823;-87.8089
30147;"Granville";41.9937;-87.6592
30148;"Granville";41.9937;-87.6592
30149;"Lawrence";41.9691;-87.6585
30150;"Lawrence";41.9691;-87.6585
30151;"Central Park";41.8538;-87.7148
30152;"Central Park";41.8538;-87.7148
30153;"Monroe-Blue";41.8807;-87.6294
30154;"Monroe-Blue";41.8807;-87.6294
30155;"Sedgwick";41.9104;-87.6393
30156;"Sedgwick";41.9104;-87.6393
30157;"Illinois Medical District";41.8757;-87.6739
30158;"Illinois Medical District";41.8757;-87.6739
30159;"Rosemont";41.9835;-87.8594
30160;"Rosemont";41.9835;-87.8594
30161;"18th";41.8579;-87.6691
30162;"18th";41.8579;-87.6691
30163;"South Boulevard";42.0276;-87.6783
30164;"South Boulevard";42.0276;-87.6783
30165;"Harold Washington Library";41.8769;-87.6282
30166;"Harold Washington Library";41.8769;-87.6282
30167;"Francisco";41.966;-87.7016
30168;"Francisco";41.966;-87.7016
30169;"Thorndale";41.9903;-87.6591
30170;"Thorndale";41.9903;-87.6591
30171;"O'Hare";41.9777;-87.9042
30172;"O'Hare";41.9777;-87.9042
30173;"Howard";42.0191;-87.6729
30174;"Howard";42.0191;-87.6729
30175;"Howard";42.0191;-87.6729
30176;"Howard";42.0191;-87.6729
30177;"63rd";41.7805;-87.631
30178;"63rd";41.7805;-87.631
30179;"Pulaski-Forest Park";41.8738;-87.7257
30180;"Pulaski-Forest Park";41.8738;-87.7257
30181;"Midway";41.7866;-87.7379
30182;"Midway";41.7866;-87.7379
30183;"Halsted-Green";41.7789;-87.6442
30184;"Halsted-Green";41.7789;-87.6442
30185;"Pulaski-Orange";41.7998;-87.7245
30186;"Pulaski-Orange";41.7998;-87.7245
30187;"Cicero-Forest Park";41.8716;-87.7452
30188;"Cicero-Forest Park";41.8716;-87.7452
30189;"Harlem-Forest Park";41.8735;-87.807
30190;"Harlem-Forest Park";41.8735;-87.807
30191;"69th";41.7684;-87.6257
30192;"69th";41.7684;-87.6257
30193;"Cermak-Chinatown";41.8532;-87.631
30194;"Cermak-Chinatown";41.8532;-87.631
30195;"Rockwell";41.9661;-87.6941
30196;"Rockwell";41.9661;-87.6941
30197;"Logan Square";41.9297;-87.7085
30198;"Logan Square";41.9297;-87.7085
30199;"Polk";41.8716;-87.6695
30200;"Polk";41.8716;-87.6695
30201;"Kedzie-Cermak";41.854;-87.7054
30202;"Kedzie-Cermak";41.854;-87.7054
30203;"Linden";42.0732;-87.6907
30204;"Linden";42.0732;-87.6907
30205;"Ashland-Orange";41.8392;-87.6653
30206;"Ashland-Orange";41.8392;-87.6653
30207;"Kedzie-Green";41.8843;-87.7062
30208;"Kedzie-Green";41.8843;-87.7062
30209;"47th-Green";41.8092;-87.6188
30210;"47th-Green";41.8092;-87.6188
30211;"Monroe-Red";41.8807;-87.6277
30212;"Monroe-Red";41.8807;-87.6277
30213;"35-Bronzeville-IIT";41.8317;-87.6258
30214;"35-Bronzeville-IIT";41.8317;-87.6258
30215;"Halsted-Orange";41.8468;-87.6481
30216;"Halsted-Orange";41.8468;-87.6481
30217;"King Drive";41.7801;-87.6155
30218;"King Drive";41.7801;-87.6155
30219;"Kedzie-Orange";41.8042;-87.7044
30220;"Kedzie-Orange";41.8042;-87.7044
30221;"Clinton-Green";41.8857;-87.6418
30222;"Clinton-Green";41.8857;-87.6418
30223;"Garfield-Red";41.7954;-87.6312
30224;"Garfield-Red";41.7954;-87.6312
30225;"Kedzie-Brown";41.966;-87.7088
30226;"Kedzie-Brown";41.966;-87.7088
30227;"Jarvis";42.0159;-87.6691
30228;"Jarvis";42.0159;-87.6691
30229;"Argyle";41.9735;-87.6585
30230;"Argyle";41.9735;-87.6585
30231;"Wellington";41.936;-87.6533
30232;"Wellington";41.936;-87.6533
30233;"Fullerton";41.9251;-87.6529
30234;"Fullerton";41.9251;-87.6529
30235;"Fullerton";41.9251;-87.6529
30236;"Fullerton";41.9251;-87.6529
30237;"47th-Red";41.8103;-87.6309
30238;"47th-Red";41.8103;-87.6309
30239;"Addison-Blue";41.9474;-87.7191
30240;"Addison-Blue";41.9474;-87.7191
30241;"Central-Purple";42.064;-87.6856
30242;"Central-Purple";42.064;-87.6856
30243;"Austin-Green";41.8873;-87.7741
30244;"Austin-Green";41.8873;-87.7741
30245;"43rd";41.8165;-87.619
30246;"43rd";41.8165;-87.619
30247;"Jefferson Park";41.9706;-87.7609
30248;"Jefferson Park";41.9706;-87.7609
30249;"Kimball";41.9679;-87.7131
30250;"Kimball";41.9679;-87.7131
30251;"Loyola";42.0011;-87.6611
30252;"Loyola";42.0011;-87.6611
30253;"Paulina";41.9436;-87.6709
30254;"Paulina";41.9436;-87.6709
30255;"Belmont";41.9398;-87.6534
30256;"Belmont";41.9398;-87.6534
30257;"Belmont";41.9398;-87.6534
30258;"Belmont";41.9398;-87.6534
30259;"Montrose-Blue";41.9615;-87.7436
30260;"Montrose-Blue";41.9615;-87.7436
30261;"LaSalle";41.8756;-87.6317
30262;"LaSalle";41.8756;-87.6317
30263;"Oak Park-Green";41.887;-87.7938
30264;"Oak Park-Green";41.887;-87.7938
30265;"California-Green";41.8842;-87.6962
30266;"California-Green";41.8842;-87.6962
30267;"Bryn Mawr";41.9835;-87.6588
30268;"Bryn Mawr";41.9835;-87.6588
30269;"Roosevelt (Subway)";41.8674;-87.6274
30270;"Roosevelt (Subway)";41.8674;-87.6274
30271;"Chicago-Blue";41.8961;-87.6552
30272;"Chicago-Blue";41.8961;-87.6552
30273;"Addison-Red";41.9474;-87.6536
30274;"Addison-Red";41.9474;-87.6536
30275;"87th";41.7354;-87.6247
30276;"87th";41.7354;-87.6247
30277;"Addison-Brown";41.947;-87.6746
30278;"Addison-Brown";41.947;-87.6746
30279;"Chicago-Red";41.8967;-87.6282
30280;"Chicago-Red";41.8967;-87.6282
30281;"Irving Park-Brown";41.9545;-87.6749
30282;"Irving Park-Brown";41.9545;-87.6749
30283;"Western-Brown";41.9662;-87.6885
30284;"Western-Brown";41.9662;-87.6885
30285;"Harrison";41.874;-87.6275
30286;"Harrison";41.874;-87.6275
30287;"Montrose-Brown";41.9618;-87.675
30288;"Montrose-Brown";41.9618;-87.675
30289;"Lake";41.8848;-87.6278
30290;"Lake";41.8848;-87.6278
30291;"Conservatory";41.8849;-87.7165
30292;"Conservatory";41.8849;-87.7165
30374;"Clark/Lake (Subway)";41.8857;-87.6309
30375;"Clark/Lake (Subway)";41.8857;-87.6309
